localisation\russian\KR_country_specific\AFG - Afghanistan l_russian.yml

l_russian:

### World Tension ###
 AFG_anglo_afghan_war_threat: "Fifth Anglo-Afghan War"
 albania_events.36.d: "In an attempt to cultivate ties and further expand their influence on the world stage, the Albanians have approached us in hopes of deepening Albanian-Sicilian relations. Seeing as there exist a large group of Albanian ex-pats within the Two Sicilies, it is only natural that we accept their advances."
 albania_events.36.a: "Send word to our new friends!"

 albania_events.37.t: "Successful Delegation to the Two Sicilies!"
 albania_events.37.d: "Word has arrived from the Albanian embassy in the Two Sicilies that our efforts of cultivating ties between our two nations have been a monumental success. Citing the presence of Tosk Albanians within the nation, the Sicilians received our offer of friendship rather well."
 albania_events.37.a: "A rather joyous occasion!"

 albania_events.38.t: "The Reclamation of Kosovo"
 albania_events.38.d: "Kosovo, the home of the Albanian National Awakening, has been in the hands of the treacherous Serbians for far too long. The land itself is rightfully Albanian, with most, if not all, of the inhabitants considering themselves to, rightfully, be ethnically Albanian. For years, we have had to sit idly, allowing the Serbians to hold on to the area. That ends today."
 albania_events.38.a: "Long live Albania!"

 albania_events.39.t: "Albania Has Attacked Us!"
 albania_events.39.d: "In a surprising move, the Albanians have declared war against us in an attempt to secure the rightful Serbian territory of Kosovo which they claim is Albanian. The territory has been with us ever since we had secured a victory against the Ottoman Empire following the conclusion of the Balkan Wars. It is only rightful that we retain the land and we shall do so."
 albania_events.39.a: "We shall never surrender!"

 albania_events.40.t: "Partisan Attack on Newly Established German Schools!"
 albania_events.40.d: "In an attempt to oppose, and destroy, the newly established German schools, Albanian nationalist partisans have taken to vandalising and destroying the property, hoping to scare us off and prevent us from building and funding the construction of German schools."
 albania_events.40.a: "They shall not succeed!"

 albania_events.41.t: "Vërlaci Has Been Killed!"
 albania_events.41.d: "In a surprising event for both the common Albanian and international observers, the assassination attempt on Shefqet Vërlaci has managed to succeed, with the former president of Albania being killed and the Unity Party, led by Avni Rustemi, assuming power. Today is a dark day, for many Albanians, while having an intense dislike of Vërlaci, do not view the Unity Party as the rightful leaders of Albania..."
 albania_events.41.a: "It will take time to cement our rule."

 albania_events.42.t: "Vërlaci Has Survived!"
 albania_events.42.d: "Thankfully, the assassin, who many had already expected to fail, has not managed to kill [Root.GetLeader], who is safe, yet still harmed, and recovering. The people who had hired the assassin, namely, the Unity Party, and the assassin himself have all been purged with Fan Noli now in charge of the declining party."
 albania_events.42.a: "Today is a joyous occasion!"

 albania_events.43.t: "Rustemi Has Been Killed!"
 albania_events.43.d: "In a surprising event for both the common Albanian and international observers, the assassination attempt on Avni Rustemi has managed to succeed, with the former president of Albania being killed and the Progressive Party, led by Shefqet Vërlaci, assuming power. Today is a dark day, for many Albanians, who had held high views of Rustemi, do not view the Unity Party as the rightful leaders of Albania..."
 albania_events.43.a: "It will take time to cement our rule."

 albania_events.44.t: "Rustemi Has Survived!"
 albania_events.44.d: "Thankfully, the assassin, who many had already expected to fail, has not managed to kill [Root.GetLeader], who is safe, yet still harmed, and recovering. The people who had hired the assassin, namely, the Progressive Party, and the assassin himself have all been purged with Ahmet Zogu now in charge of the declining party."
 albania_events.44.a: "Today is a joyous occasion!"

 albania_events.48.t: "Partisan Attacks!"
 albania_events.48.d: "Partisans, who have not taken kindly to the current changes that we've made, have begun to attack various important buildings in an attempt to force us to reverse our policies. This does not come as a shock, as we've prepared for this eventuality, but it still sets us back."
 albania_events.48.a: "Blasted nationalists."

 albania_events.49.t: "More Partisan Attacks!"
 albania_events.49.d: "Partisans have continued to mercilessly attack us, this time focusing their efforts on taking out crucial supply lines we need to equip troops to deal with them. This has set us back by quite a bit and will take some time to recover from."
 albania_events.49.a: "Blasted nationalists."

 albania_events.50.t: "Sabotage Against Austrian Companies"
 albania_events.50.d: "Albanian nationalists and anti-Austrians have taken to sabotaging new Austrian companies that have begun to set local branches in Albania, intending on driving away foreign businesses. This does not bode well for us."
 albania_events.50.a: "We must stand firm in the face of destruction."

 albania_events.51.t: "German Schools Showing Progress"
 albania_events.51.d: "Due to pursuing our policy of instating and running German schools, alongside making sure that education within Albania, specifically with regards to the attendance of these schools, is compulsory, we have managed to lower illiteracy rates by a great amount. This will, of course, greatly assist us in our efforts in that it will help bring about a more educated, and loyal, populace."
 albania_events.51.a: "Rejoice!"

 albania_events.52.t: "Albanian Oil Shipments"
 albania_events.52.d: "Due to our control over Albania, with the installation of William of Wied, we have managed to procure oil shipments from Albanian which will most certainly assist us economically in that it will boost our overall industrial production."
 albania_events.52.a: "Excellent."

 albania_events.54.t: "Attempted Assassination of Wied!"
 albania_events.54.d: "We should have seen this coming with the recent reforms that have been implemented. While the partisans had only acted against things that had directly affected Albania, such as new schools and the abolition of republican institutions, an assassin has been hired to take out Wied and liberate Albania from Austrian rule. If Wied dies, this could prove to be disastrous for everybody involved!"
 albania_events.54.a: "The assassin takes the shot and..."

 albania_events.55.t: "Wied Has Been Killed!"
 albania_events.55.d: "News has reached us from Albania that Wied has been killed and all of our efforts to subjugate the nation have failed, with nationalists taking matters into their own hands and seizing power! What shall we do?"
 albania_events.55.a: "We shall not stand for this!"
 albania_events.55.b: "We are not ready for war..."

 albania_events.57.t: "Chasing Down the Partisans"
 albania_events.57.d: "We have found a trace of the partisans near key supply lines and other areas containing crucial infrastructure. While they had managed to escape before we had caught them in the act, this shows signs of good progress, and will, hopefully, lead us to them."
 albania_events.57.a: "Here's hoping."

 albania_events.58.t: "Continual Partisan Attacks!"
 albania_events.58.d: "Traces of partisan attacks have, yet again, been detected with more crucial supply lines and railways being destroyed or broken beyond recognition. It seems as though the hunt to chasing down these fiends will continue."
 albania_events.58.a: "No matter, they shall be found!"

 albania_events.59.t: "Catching the Partisans"
 albania_events.59.d: "Finally, we've managed to track down the partisans and pinpoint their location to forests hidden within Albania. It seems as though leaders who were once nationalist guerrillas have taken to attacking us. No matter, for they are now in our custody and shall be dealt with shortly."
 albania_events.59.a: "Thankfully, they're now contained."

 albania_events.60.t: "Trade With Albania?"
 albania_events.60.d: "Albania has just reached out to us in an attempt to foster relations and help open up trade relations between our two nations. This could certainly help us better fight off the effects of Black Monday while boosting relations between our two nations. With that in mind, we have decided to..."
 albania_events.60.a: "Trade with the Albanians."
 albania_events.60.b: "Not trade with the Albanians."

 albania_events.61.t: "Albanian-Sicilian Economic Ties!"
 albania_events.61.d: "Word has come that the Sicilians have decided to accept our offer of trade between Albania and the Two Sicilies, effectively ensuring better relations between our two nations while also helping spur the development of better economic ties. This will surely be a great economic boon for years to come!"
 albania_events.61.a: "A toast to our Sicilian friends!"

 albania_events.62.t: "Sicilian Refusal"
 albania_events.62.d: "The Two Sicilies have refused our offer of economic ties between our two nations, citing the current concentration of resources to build up their nation internally and the distance between our two nations."
 albania_events.62.a: "Dammit..."

### Focuses ###
 ALB_aftermath_of_black_monday: "Aftermath of Black Monday"
 ALB_aftermath_of_black_monday_desc: "Black Monday, an economic crash originating in Germany, has just hit Albania! Because of our agricultural economy, alongside minimal industrialisation and a poor financial system, we have been hit very hard by this event and our people continually grow dissatisfied as unemployment rates have skyrocketed while the economy is now in free fall."
 ALB_balance_the_budget: "Balance the Budget"
 ALB_balance_the_budget_desc: "Even prior to Black Monday, Albania has faced a severe budget deficit due to little revenue and minimal economic output. We must take steps to balance the budget and ensure that we are running on a surplus so that we may pull ourselves out of this economic rut we currently occupy."
 ALB_banking_reform: "Banking Reform"
 ALB_banking_reform_desc: "The Albanian National Bank is heavily dependent on the funds of the landowners within Albania. With the recent economic crisis, many within the aristocracy have been unable to continue sending funds to the bank. It is clear that we must step in and ensure that the bank can better manage currency, promote economic growth, and retain the stability of prices."
 ALB_industrialisation_programmes: "Industrialisation Programmes"
 ALB_industrialisation_programmes_desc: "Black Monday has revealed our economic weaknesses as we are suffering quite a bit due to the lack of industrialisation within our nation alongside heavy reliance on the sharecropping system run by the aristocracy, in favour of the aristocracy. It is clear that industrialisation programmes will be necessary to help reverse the effects of Black Monday and catch up to the other powers in Europe."
 ALB_end_the_feudal_system: "End the Feudal System"
 ALB_end_the_feudal_system_desc: "The lower class within our nation have been at the whim of the landowners and the aristocracy for far too long. We must abolish the institutions that disenfranchise the common man and end systems such as sharecropping. We must ensure the freedom of all Albanians."
 ALB_land_redistribution: "Land Redistribution"
 ALB_land_redistribution_desc: "The landowners have hoarded what is rightfully the property of the Albanian people for far too long and have blocked any attempt to better reform our economy. We must force upon them the redistribution of land in order to assist both our peasants and our economy, Vërlaci and his Progressives be damned!"
 ALB_establish_a_middle_class: "Establish a Middle Class"
 ALB_establish_a_middle_class_desc: "While we have managed to empower the common man and redistribute land alongside increasing the economic and social prosperity of Albanians, we must begin the establishment of a middle class. In order to ensure that the people retain their current economic status and that Albania remains prosperous for the years to come, we must bring about the creation of an educated and affluent middle class."
 ALB_new_farming_techniques: "New Farming Techniques"
 ALB_new_farming_techniques_desc: "As it stands, the peasant farmers in Albania use outdated equipment and farming techniques. Many of our farmers can only afford to own wooden ploughs and rely on subsistence farming as their primary farming method. If we are to improve the conditions of Albanian farmers and increase our agricultural output, it is crucial that we teach our farmers new farming techniques and upgrade their equipment."
 ALB_trade_agreements: "Trade Agreements"
 ALB_trade_agreements_desc: "By enacting trade agreements with our neighbours, we can simultaneously improve relations while mutually benefiting from the economic benefit that comes from doing so. This will allow us to increase the amount of economic activity in Albania which will help us better combat the after-effects of Black Monday."
 ALB_improve_sharecroppping: "Improve Sharecropping"
 ALB_improve_sharecroppping_desc: "Currently, our peasant farmers and sharecroppers continue to use outdated equipment, such as wooden ploughs, and, as a result, the amount of work they can do alongside their efficiency suffers because of how ill-equipped they are to handle various situations. By upgrading their tools, we can ensure the uptick of agricultural output within Albania."
 ALB_fund_the_bank: "Fund the Bank"
 ALB_fund_the_bank_desc: "After Black Monday, many of the upper class were forced to pull out their funds from the bank which, in turn, left our bank on the brink of destruction. By incentivising the wealthy to invest in the banks, we can fill up the state's coffer and better carry out the function of the bank while assisting companies and/or nobles who need the money."
 ALB_minor_industrialisation: "Minor Industrialisation"
 ALB_minor_industrialisation_desc: "Ahmet Zogu, the Prime Minister, has managed to convince Shefqet Vërlaci, the party leader, to enact a minor industrialisation programme in order to catch up to the rest of Europe and better fight the after-effects of Black Monday. This programme will, however, be closely monitored by the landowning aristocracy so as to not divert profit away from sharecropping and damage the current system in place."
 ALB_increased_agricultural_output: "Increased Agricultural Output"
 ALB_increased_agricultural_output_desc: "By teaching our peasant farmers and sharecroppers new farming techniques, and gradually weaning them off of subsistence farming, we can increase the agricultural output of the state as farmers will no longer produce for purely themselves and/or their families, but for the benefit of the state as well."
 ALB_tax_incentives: "Tax Incentives"
 ALB_tax_incentives_desc: "Providing businesses with special tax benefits and exemptions will be extremely useful in that they will set up branches in Albania, thereby increasing economic activity in our nation and, in turn, helping us better combat the effects of Black Monday through external investment."
 ALB_enact_deflation_measures: "Enact Deflation Measures"
 ALB_enact_deflation_measures_desc: "Enacting deflation measures and removing a certain amount of lek from circulation will allow us to reverse the inflation of the currency under Black Monday and assist the banks by beginning the stabilisation of our currency and, hopefully, maintaining that stability."
 ALB_oil_drilling: "Oil Drilling"
 ALB_oil_drilling_desc: "By extracting the vast oil resources of Albania that exist in areas such as Patos-Marinza, Kuçoca, and Driza, we can boost our economic output through the exchange of natural resources and make Albania a desirable area for investment."
 ALB_infrastructural_improvements: "Infrastructural Improvements"
 ALB_infrastructural_improvements_desc: "As it stands, the extremely limited and narrow gauge lines in our nation were only built for mine site and military purposes. If we are to better transport our people, resources, and troops throughout the nation, a comprehensive and working railway system must be built throughout Albania, in order to better connect our nation."
 ALB_an_economic_miracle: "An Economic Miracle"
 ALB_an_economic_miracle_desc: "Against all odds, we have managed to beat the disastrous economic conditions faced during Black Monday and have managed to make Albania a financially sound and reformed nation. We can look forward to being known as a prosperous nation with bustling economic activity."

 ALB_albanian_elections_of_1936: "Albanian Elections of 1936"
 ALB_albanian_elections_of_1936_desc: "The 1936 Elections will be hotly contested due to the split in ideas and the growing rivalry between Bashkimi and the Progressives. With the people sick of the status quo and demanding more civil liberties alongside land redistribution versus the unwillingness of the aristocracy to compromise, Albania has become very polarised. This election will determine the future of Albania for years to come."
 ALB_bashkimi_victory: "Bashkimi Victory"
 ALB_bashkimi_victory_desc: "Bashkimi have managed to emerge victorious from the 1936 elections, with Avni Rustemi, head of the party, taking power. Their platform advocates land redistribution, extending civil liberties, liberalising and westernising Albania, empowering the common man, and industrialising the nation."
 ALB_universal_health_care: "Universal Health Care"
 ALB_universal_health_care_desc: "Fan Noli, the deputy leader of Bashkimi, has pushed for the implementation of universal health care, which would see the state administer and pay for Albanian health care through the use of taxes."
 ALB_albanian_sovereignty: "Albanian Sovereignty"
 ALB_albanian_sovereignty_desc: "Avni Rustemi and Fan Noli are ardent Albanian patriots who wish to see Albanian sovereignty asserted and made clear to the international community. No longer shall Albania be the puppet of the foreign power in Europe! We shall determine our own destiny and bring about a prosperous and just Albania for all Albanians!"
 ALB_extend_civil_liberties: "Extend Civil Liberties"
 ALB_extend_civil_liberties_desc: "Under the rule of the Progressives, the aristocracy has deprived the people of their rights, forcing them to submit to the feudal system and disallowing freedom of speech through the use of censorship. We must allow all Albanians to share and enjoy the same rights."
 ALB_reform_the_justice_system: "Reform the Justice System"
 ALB_reform_the_justice_system_desc: "Noli has also put forth the reformation of the justice system, doing away with Islamic law and adopting a western civil and legal code so as to be more inclusive of all Albanians and aid the westernisation of our nation."
 ALB_freedom_of_press: "Freedom of Press"
 ALB_freedom_of_press_desc: "A free press is vital to any developed and westernised nation as it allows for the media to voice its opinions on key issues. If the media cannot freely operate, then what good are the current civil liberties in place?"
 ALB_liberalisation: "Liberalisation"
 ALB_liberalisation_desc: "We have managed to reform Albania for the better, westernising the nation, reforming key administrative and governmental positions, and granting rights and civil liberties to the common man. Albania is now on the road to being a free and developed nation, on par with many nations in Europe. Long live Albania and long live the Albanian people!"
 ALB_progressive_victory: "Progressive Victory"
 ALB_progressive_victory_desc: "The Progressives have managed to emerge victorious from the 1936 elections, with Shefqet Vërlaci, head of the party, taking power. Their platform advocates for the centralisation of power in Tirana to better administer the nation, preservation of Albanian traditions, and granting autonomy to the clans up north."
 ALB_centralisation_of_power: "Centralisation of Power"
 ALB_centralisation_of_power_desc: "In order to better and more efficiently administer Albania, which is a vast nation comprised of people from various ethnic and religious backgrounds, it is best that we centralise power in Tirana in order to enact the goals that we have set forth."
 ALB_resist_land_reform_efforts: "Resist Land Reform Efforts"
 ALB_resist_land_reform_efforts_desc: "Bashkimi, the pesky democrats, and so-called patriots have continually agitated for the redistribution of land from the landowning aristocracy to the common man. Why would we, the aristocracy, willingly give up our land to peasant farmers who could never hope to run it as well as we could? The notion of land redistribution is simply ridiculous and shall be shut down."
 ALB_grant_autonomy_to_northern_clans: "Grant Autonomy to Northern Clans"
 ALB_grant_autonomy_to_northern_clans_desc: "The Catholics in the north have been ardent supporters of the Progressive Party and have continually backed us despite the opposition from various groups. They shall be rewarded with autonomy for their unrelenting support."
 ALB_preserve_albanian_traditions: "Preserve Albanian Traditions"
 ALB_preserve_albanian_traditions_desc: "A big part of the Progressive Party platform was the conservation of Albanian traditions. Whereas Bashkimi seek to westernise the nation and adopt foreign civil codes, we believe that Albania is fine and does not need any change. We cannot, and will not, bend to the arbitrary standards of the European powers. An Albania for Albanians is what we shall continue to maintain!"
 ALB_crush_the_opposition: "Crush the Opposition"
 ALB_crush_the_opposition_desc: "While Bashkimi were once useful in terms of assisting with the creation of a truly free Albanian nation, they have overstepped their boundaries and do not know their place. They have continually agitated and spoken out against the Progressives and the rest of the aristocrats. Such insolence shall no longer be tolerated!"
 ALB_empower_the_aristocracy: "Empower the Aristocracy"
 ALB_empower_the_aristocracy_desc: "The aristocracy shall be allowed to assume their divine right as the head of Albania as they know better than the common man and can guide the nation into a bright and prosperous future. Long live the new Albania!"
 ALB_albanian_schools: "Albanian Schools"
 ALB_albanian_schools_desc: "Even prior to the liberation of Albania from the tyranny of the Austrians, we had already begun the creation of Albanian schools for Albanians in order to fight the illiteracy within our nation so as to ensure we don't lag behind in academic pursuits. We must continue this education programme and build more schools for Albanians, and continually expand the already existing ones, so as to bring prosperity."
 ALB_new_research_institutes: "New Research Institutes"
 ALB_new_research_institutes_desc: "Investing funds into new research institutes is crucial to harvesting homegrown talent and encouraging Albanians to pursue academic fields. This will ensure prosperity as new scientists, doctors, researchers, and teachers shall be able to thrive in Albania."

 ALB_albanian_national_army: "Albanian National Army"
 ALB_albanian_national_army_desc: "The Albanian National Army is both small and ill-equipped to deal with enemy armies. If we are to protect Albania from its external enemies, we must begin to shift our focus towards funding and upgrading the military."
 ALB_modernisation_of_equipment: "Modernisation of Equipment"
 ALB_modernisation_of_equipment_desc: "Firearms and other types of equipment used by the military are pre-Weltkrieg era Maschinengewehr M. 7 guns which, while reliable, are old and unable to keep up with the ever-evolving demands of warfare. We must look into upgrading our guns."
 ALB_invest_in_artillery: "Invest in Artillery"
 ALB_invest_in_artillery_desc: "Artillery has been a key component of war ever since the Napoleonic Wars and had played a crucial role during the Weltkrieg. Investing in this technology would be extremely helpful as artillery is able to be fired towards distances that infantry cannot reach."
 ALB_research_new_doctrines: "A Military Doctrine"
 ALB_research_new_doctrines_desc: "Choosing and abiding by a military doctrine is vital for the military if we are to professionalise and coordinate strategies with the high command."
 ALB_armour_research: "Armour Research"
 ALB_armour_research_desc: "Invented by the British in 1916, tanks are able to break through enemy lines and possess firepower never before seen. Researching armour will be crucial to the Albanian war effort."
 ALB_motorised_infantry: "Motorised Infantry"
 ALB_motorised_infantry_desc: "Motorised infantry is crucial in that it provides protection from enemy fire and can help transfer our troops from one place to another at swift speeds."
 ALB_arm_of_gendarmerie: "Arm of Gendarmerie"
 ALB_arm_of_gendarmerie_desc: "Empowering the Arm of Gendarmerie in order to protect Albania from internal threats is crucial as the times are quickly turning turbulent and enemies within, and outside, the nation still exist, threatening Albanian sovereignty. The Arm of Gendarmerie shall be the hidden guards of Albania, remaining in the shadows until they are ready to strike."

 ALB_albanian_naval_force: "Albanian Naval Force"
 ALB_albanian_naval_force_desc: "Currently, the Albanian Naval Force consists only of four ships that are patrol boats and were built using funds from the aristocracy. If we are to guard our sovereignty and protect our shores, we must look into expanding the navy."
 ALB_albanian_air_force: "Albanian Air Force"
 ALB_albanian_air_force_desc: "As it stands, the Albanian Air Force contains five planes, all of which are Albatros-Fokker models, and is ill-equipped to deal with threats in the sky. Expansion of the air force will be necessary if we are to protect ourselves during wartime."
 ALB_submarine_research: "Raid Their Ships"
 ALB_submarine_research_desc: "Submarines are relatively cheap and easy to mass-produce. In addition, we can use them to disrupt and raid enemy shipping lanes."
 ALB_fighter_effort: "Fight Them in the Skies"
 ALB_fighter_effort_desc: "If we are to control the skies and combat enemy planes, we must invest time and money into building new fighters."
 ALB_new_destroyers: "New Destroyers"
 ALB_new_destroyers_desc: "Destroyers are both durable and manoeuvrable ships that are used to defend the main vessels, convoys, and battle groups. We should look into creating more of them."
 ALB_create_bombers: "Destroy Enemy Supply Lines"
 ALB_create_bombers_desc: "Bombers, by nature, are designed to attack both sea and land targets. This means enemy ships, troops, or even supply lines can all be attacked. Building them would be a great asset during wartime."
 ALB_airbase_construction: "Airbase Construction"
 ALB_airbase_construction_desc: "To keep up with the increasingly high number of planes built, we should look into building new airbases in our country to help house more planes."
 ALB_naval_bases: "Durrës Naval Base"
 ALB_naval_bases_desc: "The creation of a naval base in Durrës will be helpful in terms of housing existing ships, and establishing a central location to build new ships."
 ALB_aerial_doctrines: "Aerial Doctrines"
 ALB_aerial_doctrines_desc: "We should teach our pilots new methods on how to fly planes. That way, we can outsmart the enemy and greatly increase our understanding of aerial warfare."
 ALB_naval_doctrines: "Naval Doctrines"
 ALB_naval_doctrines_desc: "Allowing our admirals to coordinate and map the route our navy will take alongside training our naval officers to adapt to these new techniques will be crucial in modernising and strengthening our navy."

 ALB_restoration_of_the_king: "The Restoration of Wied"
 ALB_restoration_of_the_king_desc: "With the Austrians now in control of Albania, they have seen fit to restore William of Wied to the throne, who will act as the new King of Albania, representing the Austrian interests within the nation. This will, of course, upset many Albanian nationalists and anti-imperialists."
 ALB_setting_up_the_albanian_kingdom: "Setting up the Albanian Kingdom"
 ALB_setting_up_the_albanian_kingdom_desc: "While we have managed to secure power, it is important that we begin the consolidation of power and actually setting up the transition to becoming a kingdom so as to better prepare ourselves for what may come in the future."
 ALB_establishment_of_german_schools: "Establishment of German Schools"
 ALB_establishment_of_german_schools_desc: "As it is important that we bring the Albanian people under our influence, while also catering to the needs of Austria, we must turn to establishing German schools. This will also have the side effect of decreasing the illiteracy rate within Albania."
 ALB_abolition_of_republican_institutions: "Abolition of Republican Institutions"
 ALB_abolition_of_republican_institutions_desc: "We must begin to remove the pre-existing framework of republican institutions that were set up during the time of the Republic of Albania. These systems are obsolete, against our interests, and serve no purpose other than to empower the rabble. We will, of course, face heavy opposition."
 ALB_prioritise_the_needs_of_catholics: "Prioritise the Needs of Catholics"
 ALB_prioritise_the_needs_of_catholics_desc: "By prioritising the needs of Catholics, and redistributing land to them, we can reduce the influence of the predominantly Muslim landowners within Albania while empowering people who will, hopefully, remain loyal to our cause."
 ALB_cementing_the_power_of_the_king: "Cementing Wied's Power"
 ALB_cementing_the_power_of_the_king_desc: "It is clear that we must begin to turn our attention to cementing the power of Wied, and ensure that the Albanian people begin to permanently accept him as the new King of Albania. Long live Skanderbeg II!"
 ALB_setting_up_austrian_companies: "Setting up Austrian Companies"
 ALB_setting_up_austrian_companies_desc: "By allowing Austrian companies to set up local branches in Albania, we can further increase industrial output within our nation while also further promoting the Austrian cause."
 ALB_crushing_partisans: "Crushing Partisans"
 ALB_crushing_partisans_desc: "It has become eminently clear that we must begin to turn our attention to the partisans, most notably Albanian nationalists and anti-imperialists, and deal with the problems they have caused once and for all."
 ALB_providing_austria_with_oil: "Providing Austria with Oil"
 ALB_providing_austria_with_oil_desc: "As oil is abundant within Albania, it is important that we begin drilling in order to help secure and exploit the vast resources within the nation. And, by doing so, we can send some of it to Austria, thereby increasing our relationship with them."
 ALB_granting_autonomy_to_catholic_clans: "Granting Autonomy to Catholic Clans"
 ALB_granting_autonomy_to_catholic_clans_desc: "In order to better empower the Catholics living within Albania, thereby helping us secure their loyalty, we must grant them autonomy. After all, we could use allies during these turbulent times."
 ALB_finalisation_of_the_kingdom: "Finalisation of the Kingdom"
 ALB_finalisation_of_the_kingdom_desc: "With all of our reforms implemented, and the Albanian people beginning to accept the permanence of these new reforms, it is clear that we can formally, and finally, begin our transition to becoming the Kingdom of Albania."

### Parties ###
 ALB_totalist_party: "Partia Vanguardiste"
 ALB_totalist_party_long: "Partia Vanguardiste e Shqipërisë (Vanguardist Party of Albania)"
 ALB_syndicalist_party: "KONARE"
 ALB_syndicalist_party_long: "Komiteti Nacional Revolucionar (Revolutionary National Committee)"
 ALB_radical_socialist_party: "Grupi Korçë"
 ALB_radical_socialist_party_long: "Grupi Korçë (Korçë Group)"
 ALB_social_democrat_party: "Bashkimi"
 ALB_social_democrat_party_long: "Partia e Bashkimi (Unity Party)"
 ALB_social_liberal_party: "Partia Popullore"
 ALB_social_liberal_party_long: "Partia Popullore (People's Party)"
 ALB_market_liberal_party: "Partia Demokrate e Re"
 ALB_market_liberal_party_long: "Partia Demokrate e Re (New Democratic Party)"
 ALB_social_conservative_party: "Partia Përparimtare"
 ALB_social_conservative_party_long: "Partia Përparimtare (Progressive Party)"
 ALB_authoritarian_democrat_party: "Këshilli i Lartë"
 ALB_authoritarian_democrat_party_long: "Këshilli i Lartë (Supreme Council)"
 ALB_paternal_autocrat_party: "Shteti Palë"
 ALB_paternal_autocrat_party_long: "Shteti Palë (State Party)"
 ALB_national_populist_party: "Balli Kombëtar"
 ALB_national_populist_party_long: "Balli Kombëtar (National Front)"

 ALB_social_democrat_fan_noli: "PSD"
 ALB_social_democrat_fan_noli_long: "Partia Socialdemokrate e Shqipërisë (Social Democratic Party of Albania)"

 ALB_social_conservative_ahmet_zogu: "Partia Republikane"
 ALB_social_conservative_ahmet_zogu_long: "Partia Republikane e Shqipërisë (Republican Party of Albania)"

 ALB_wied_puppet_party: "Haus Wied-Neuwied (House of Wied-Neuwied)"

### Companies ###
 telekomi_shqiptar: "Telekomi Shqiptar"
 acr: "ACR"
 armo: "ARMO"
 ganz_albania: "Ganz Albania"
 hekurudha_shqiptare: "Hekurudha Shqiptare"
 pasha_liman_kantjerin: "Kanteri i Pashë Alimanit"
 arsenal_ushtria_tirane: "Arsenali i Ushtrisë, Tiranë"
 phoenix_albania: "Phönix Albanien"

### Ideas ###
 ALB_black_monday_idea: "Black Monday"
 ALB_black_monday_idea_desc: "Even Albania was unable to escape the economic devastation incurred by many nations due to Black Monday, one of the worst economic crashes in history. Unless we undertake large scale reforms, such as agrarian reform, industrialise the nation, balance the budget, reform the bank, and utilise the Albanian land and Albanian people to the fullest extent, we cannot hope to escape this dreadful crash. Let us hope we can do so."
 ALB_land_reform_idea: "Land Reform"
 ALB_land_reform_idea_desc: "By instituting agrarian reform and redistributing the land held by the aristocratic landowners to regular Albanians, we can slowly wean ourselves off of the current farming aristocracy that has developed and empower the peasant farmers within our nation. Of course, the aristocrats are not pleased, and may fight back..."
 ALB_farming_techniques_idea: "New Farming Techniques"
 ALB_farming_techniques_idea_desc: "Peasant farmers in Albania have relied upon using wooden ploughs and subsistence farming for far too long. This has had a negative impact on our economy, in that our agricultural output and exports are not as high as they could have been. By upgrading the methods employed by farmers and the tools used, we can increase both the agricultural output of Albania and improve the lives of hundreds of thousands of Albanians."
 ALB_mass_illiteracy: "Mass Illiteracy"
 ALB_mass_illiteracy_desc: "Education in Albania is very poor, with eighty per cent of the population illiterate. In addition, education is neither compulsory nor does Albania have any formal university. The only group of people within our nation to possess some sort of education are the aristocrats, meaning that we are severely behind our European counterparts when it comes to research and are viewed as a backwater. Separate Turkish schools for Muslims and Greek schools for Orthodox Christians have not helped this issue one bit."
 ALB_illiteracy: "Illiteracy"
 ALB_illiteracy_desc: "While we have taken steps to solve the problem of illiteracy, with creating Albanian schools for Albanians, the problem of education not being compulsory alongside Albania's lack of higher education facilities remains."
 ALB_economic_boom_idea: "Economic Boom"
 ALB_economic_boom_idea_desc: "We have managed to successfully combat the effects of Black Monday and have, by extension, brought upon an economic golden age to Albania. Agricultural output is high, industrialisation has improved both our economic output and activity, the living conditions of the average Albanian have improved, and the people are no longer oppressed. Long live Albania!"
 ALB_economic_miracle_idea: "Economic Miracle"
 ALB_economic_miracle_idea_desc: "Through the use of deflation measures, improving the conditions of sharecroppers, granting companies tax incentives to open branches in Albania, and general increased agricultural output, we have managed to bring about an economic golden age to Albania, with some dubbing the event as the Albanian Economic Miracle."
 ALB_polarised_nation_idea: "Polarised Nation"
 ALB_polarised_nation_idea_desc: "With the establishment of an independent Albania, two parties in Albania have managed to take power: the social-democratic Unity Party led by Avni Rustemi and the conservative Progressive Party led by Shefqet Vërlaci. With the two parties having differing goals, yet both having vast influence, it's no wonder that, in recent years, Albania has become such a politically polarised nation..."
 ALB_feudal_system_ended: "Dissolution of the Feudal System"
 ALB_feudal_system_ended_desc: "We have managed to free the common Albanians from the yoke of the aristocrats and landowners, giving them free will and free rein over their own lives. This is truly a momentous and glorious day for the common man!"
 ALB_arm_of_gendarmerie_idea: "Arm of Gendarmerie"
 ALB_arm_of_gendarmerie_idea_desc: "Investment into the Arm of Gendarmerie is crucial if we are to protect Albania from elements that seek to destroy and/or destabilise it from both within and without."
 ALB_improved_sharecropping_idea: "Improved Sharecropping"
 ALB_improved_sharecropping_idea_desc: "Through providing our peasant farmers and sharecroppers with upgraded tools, we can ensure that their agricultural output improves while granting them better conditions."
 ALB_fund_bank_idea: "Funding the Bank"
